name,common,ra,dec,size,window,alt23,alt01,alt03,s30,e80
Markarian's Chain,Virgo core galaxy sweep,186.9,13.2,~1.5° chain of 8+ galaxies; M87 in-frame,"NOT THIS TRIP — its window (22:55-00:00, sinking W) is fully moonlit on Jun 20; broadband galaxy field = write-off. Back next spring",36,14,-7,IR broadband — the whole chain + M87 in one frame,LRGB at PA~060: the chain lies along the long axis
IC 1396,Elephant Trunk (full shell),324.78,57.5,170'x140' HII,ALL NIGHT (33° at dark -> 65° at 03:00) — S30 PRIMARY,37,53,68,"PRIMARY: LP 60s (test 120s), full moonless window","tight at PA 0 (rim kiss) — the SHO version is a JC project, save dark time"
NGC 7023,Iris + vdB 141 Ghost,317.25,68.2,frame pairs the Iris with the Ghost 1.4° E,"ALL NIGHT (38° -> 61°, no flip) — ESPRIT 80 PRIMARY",43,54,62,"IR broadband: the whole dusty field, small scale","PRIMARY: LRGB — RGB 22:50-00:50, L 00:50-03:05 (plan v2)"
NGC 7000,North America + Pelican,314.1,44.35,combo ~2.2° E-W,ALL NIGHT riser (43° at 00:00 -> 74°+),38,58,79,"combo in ONE frame — spans ~2.2° E-W = exactly the frame, center carefully",green box = NA alone (the combo overflows the 80)
Sh2-119,Clamshell Nebula,319.62,43.93,90'x90' Ha shell,"ALL NIGHT riser (5° E of NGC 7000, same track)",34,54,75,LP single frame with field to spare,fits with room — HOO
NGC 6960,Western Veil (Witch's Broom),311.4,30.72,70'x8' SNR filament,"RISER 00:00+ (53° at 01:00, climbing)",33,55,75,"single frame, LP — or revive the shelved 2-panel full-loop kit",HOO: ~1.5h Ha + 1.5h OIII fits the window
NGC 6888,Crescent Nebula,303.0,38.35,18'x12' WR bubble,ESPRIT MOON BLOCK 22:55-00:30 (3nm ignores the moon; high in Cygnus all night),43,65,86,small — context frame only,HOO — the committed moon-block target (plan v3); stacks with the JC LP data
IC 5146,Cocoon + B168 dark river,327.6,47.4,12' neb + 1.5° dark lane,RISER 00:30+ (45° at 01:00),31,50,70,IR broadband — LP would erase the dark river,LRGB at PA~105: the river flows along the long axis
Sh2-129,Flying Bat + OU4 Squid,317.95,59.95,150'x120' (Squid ~60'),"ALL NIGHT (Cepheus, circumpolar)",41,56,69,LP long stare — SAMPLE it (the real Squid wants 6h+ of OIII),OIII-only if feeling brave
M16 + M17,"Eagle + Swan, ONE frame",274.95,-14.97,pair spans ~2.9° N-S,"SOUTH WINDOW 00:45-02:30, conveniently post-moonset (peaks ~34°) — needs the southern horizon",24,33,29,"the killer frame: pair is N-S = made for the fixed long axis, LP",fits at PA 0 (2.9° vs 3.37°) if the S30 is on IC 1396
M24,Small Sagittarius Star Cloud + B92/93,274.2,-18.6,~2°x1° star cloud,SOUTH WINDOW 00:30-02:30 (transits ~29°),21,29,25,IR broadband — the cloud + dark nebulae fill the frame,"LRGB; the B92/B93 Bok bites resolve at 1.94""/px"
M8 + M20,Lagoon + Trifid,270.75,-23.7,pair 1.6° apart,"SOUTH WINDOW ~00:30-01:30, VERY low (peaks ~23°) — horizon-permitting, 30-45min",18,24,19,"both in one frame, LP, brief","skip — airmass eats 1.94""/px resolution"
Rho Ophiuchi,Antares + the colorful clouds + M4,246.7,-24.9,complex spans 4°+; frame gets the core,"SOUTH WINDOW 23:30-01:30, VERY low (peaks ~23°) — horizon-permitting",23,20,7,"IR broadband — Antares, M4 and the dust columns in one vertical frame",skip — this is a wide-field play through 2.5 airmasses
