rank,name,common_name,object_type,constellation,ra_deg,dec_deg,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,fits_fov,mosaic,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,budget_minutes_json,notes
1,Sh2-101,Tulip,HII,Cyg,299.97900,+35.27700,16.0,9.0,Jersey City,210,75.45,2026-06-25,yes,no,428.18,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, PA 135° (long axis) | E80: small | S30: small | near Cyg X-1"
2,M57,Ring,PN,Lyr,283.39600,+33.02900,1.0,1.0,Jersey City,240,82.30,2026-06-25,yes,no,402.20,121.0,480.0,25.2,359.0,"{""Ha"": 120, ""OIII"": 180, ""LP"": 180}","Esprit: fits, PA 000° (long axis) | tiny — better long-FL/cropped"
3,NGC 6888,Crescent,WR,Cyg,303.02700,+38.35500,18.0,12.0,Jersey City,180,74.27,2026-06-25,yes,no,381.41,0.0,570.0,0.0,570.0,"{""Ha"": 150, ""OIII"": 150, ""SII"": 90, ""LP"": 180}","Esprit: fits, PA 060° (long axis) | E80: small | S30: small | OIII shell + Ha; classic"
4,NGC 6820,Sh2-86,HII,Vul,295.61600,+23.08700,40.0,30.0,Jersey City,180,69.34,2026-06-25,yes,no,374.01,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, PA 000° (long axis) | E80: fits | pillar + NGC6823 cluster"
5,M27,Dumbbell,PN,Vul,299.90200,+22.72100,8.0,6.0,Jersey City,180,66.96,2026-06-25,yes,no,370.44,0.0,570.0,0.0,570.0,"{""Ha"": 150, ""OIII"": 150, ""SII"": 90, ""LP"": 180}","Esprit: fits, PA 030° (long axis) | E80: small | S30: small | bright PN; OIII strong"
6,Sh2-129,Flying Bat (+OU4 Squid),HII,Cep,317.95000,+59.95000,150.0,120.0,Jersey City,180,61.05,2026-06-25,yes,no,361.58,0.0,480.0,0.0,480.0,"{""Ha"": 120, ""OIII"": 180, ""LP"": 180}",E80: fits | S30: tight | Bat+Squid fit together; the OIII Squid is dark-site-deep
7,IC 5070,Pelican,HII,Cyg,312.75000,+44.36700,60.0,50.0,Jersey City,150,67.77,2026-06-25,yes,no,326.66,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, any (round) | E80: fits | fits tight; pairs w/ NGC7000"
8,NGC 7000,North America,HII,Cyg,314.69600,+44.33000,120.0,100.0,Jersey City,150,66.38,2026-06-25,yes,no,324.57,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}",E80: fits | S30: fits | NA alone fits with room (mosaic on the 120); +Pelican combo ~2.2°+ E-W = S30 or 2-panel
9,NGC 6960,Western Veil,SNR,Cyg,311.40800,+30.70800,70.0,8.0,Jersey City,150,64.87,2026-06-25,yes,no,322.30,0.0,480.0,0.0,480.0,"{""Ha"": 120, ""OIII"": 180, ""LP"": 180}","Esprit: fits, PA 010° (long axis) | E80: fits | Witch's Broom / 52 Cyg; long thin"
10,NGC 6992,Eastern Veil,SNR,Cyg,314.07900,+31.74300,60.0,8.0,Jersey City,150,63.40,2026-06-25,yes,no,320.10,0.0,480.0,0.0,480.0,"{""Ha"": 120, ""OIII"": 180, ""LP"": 180}","Esprit: fits, PA 200° (long axis) | E80: fits | Network; OIII-rich filament"
11,IC 1318,Sadr / Butterfly,HII,Cyg,304.20000,+41.95700,180.0,170.0,Jersey City,180,73.94,2026-06-25,no,yes,304.73,0.0,480.0,0.0,480.0,"{""Ha"": 210, ""OIII"": 90, ""LP"": 180}",S30: EW-overflow | Gamma Cyg complex ~3Â° round â€” overflows the 2.20Â° E-W axis; crop the Butterfly or 2-panel
12,Sh2-119,Clamshell,HII,Cyg,319.62500,+43.93300,90.0,90.0,Jersey City,120,62.83,2026-06-25,yes,no,274.24,0.0,480.0,0.0,480.0,"{""Ha"": 210, ""OIII"": 90, ""LP"": 180}","E80: fits | S30: fits | whole shell + 68 Cyg, with field"
13,IC 1396A,Elephant's Trunk,HII,Cep,324.00000,+57.40000,20.0,10.0,Jersey City,120,58.97,2026-06-25,yes,no,268.45,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, PA 120° (long axis) | trunk only (full IC1396 too big)"
14,IC 1396,Elephant's Trunk (full),HII,Cep,324.74500,+57.51400,170.0,140.0,Jersey City,120,58.55,2026-06-25,yes,no,267.83,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}",E80: tight | S30: tight | tight: 140' across vs 135' short axis — rim kiss; mu Cep + trunk + full shell
15,Cygnus Loop,Veil (full loop),SNR,Cyg,312.75000,+30.66700,180.0,170.0,Jersey City,150,63.86,2026-06-25,no,yes,256.63,0.0,480.0,0.0,480.0,"{""Ha"": 120, ""OIII"": 180, ""LP"": 180}","S30: EW-overflow | ~3Â° wide E-W vs the 2.20Â° axis â€” full loop is a 2-panel RA split (trips/catskills_jun20 kit); one frame = the N-S height, E/W arcs clipped"
16,IC 5146,Cocoon,HII,Cyg,328.37200,+47.24600,12.0,12.0,Jersey City,90,57.06,2026-06-25,yes,no,220.60,0.0,480.0,0.0,480.0,"{""Ha"": 210, ""OIII"": 90, ""LP"": 180}","Esprit: fits, any (round) | E80: small | S30: small | small; emission core + dust"
17,Sh2-155,Cave,HII,Cep,344.27500,+62.63600,50.0,30.0,Jersey City,90,48.23,2026-06-25,yes,no,207.34,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, PA 090° (long axis) | E80: fits | S30: fits | dark cave rim"
18,Sh2-132,Lion,HII,Cep,334.78700,+56.07900,40.0,30.0,Jersey City,60,53.31,2026-06-25,yes,no,169.97,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, PA 030° (long axis) | E80: fits | S30: fits | faint; SHO rewards it"
19,NGC 7380,Wizard,HII,Cep,341.81700,+58.12500,25.0,20.0,Jersey City,60,49.47,2026-06-25,yes,no,164.21,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, any (round) | E80: fits | open cluster + neb"
20,Sh2-157,Lobster Claw,HII,Cas,349.01600,+60.03400,60.0,30.0,Jersey City,60,45.88,2026-06-25,yes,no,158.82,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, PA 040° (long axis) | E80: fits | S30: fits | 60' fits long axis"
21,NGC 7635,Bubble,HII,Cas,350.20100,+61.20200,22.0,15.0,Jersey City,60,45.40,2026-06-25,yes,no,158.10,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: fits, PA 000° (long axis) | E80: small | bubble + M52 nearby"
22,NGC 7822,Sh2-171,HII,Cep,0.28600,+67.42100,60.0,60.0,Jersey City,30,41.72,2026-06-25,yes,no,107.58,0.0,600.0,0.0,600.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120, ""LP"": 180}","Esprit: tight, any (round) | E80: fits | S30: fits | fills frame; pillars"
